"Category","Subcategory","Text","Severity","WAF","GUID"
"Management","Protect and Recover","Use native PaaS service disaster recovery capabilities.  Perform failover testing with these capabilities.","Medium","Operations","b2ab13ad-a6e5-45d7-b8a2-adb117d6326a"
"Management","Protect and Recover","Use Azure-native backup capabilities, or an Azure-compatible, 3rd-party backup solution.","Medium","Operations","f625ca44-e569-45f2-823a-ce8cb12308ca"
"Management","App delivery","Add diagnostic settings to save WAF logs from application delivery services like Azure Front Door and Azure Application ","High","Operations","89cc5e11-aa4d-4c3b-893d-feb99215266a"
"Management","App delivery","Send WAF logs from your application delivery services like Azure Front Door and Azure Application Gateway to Microsoft S","Medium","Operations","7f408960-c626-44cb-a018-347c8d790cdf"
"Security","Access control","Determine the incident response plan for Azure services before allowing it into production.","Medium","Security","b86ad884-08e3-4727-94b8-75ba18f20459"
"Security","Access control","Apply a zero-trust approach for access to the Azure platform.","Medium","Security","01365d38-e43f-49cc-ad86-8266abca264f"
"Security","Encryption and keys","Use Azure Key Vault to store your secrets and credentials.","High","Security","5017f154-e3ab-4369-9829-e7e316183687"
"Security","Encryption and keys","Provision Azure Key Vault with the soft delete and purge policies enabled to allow retention protection for deleted obje","Medium","Security","2ba52752-6944-4008-ae7d-7e4843276d8b"
"Security","Encryption and keys","Follow a least privilege model by assigning just-in-time eligible RBAC roles for operators, administrators, and other us","Medium","Security","dc055bcf-619e-48a1-9f98-879525d62688"
"Security","Encryption and keys","Automate the certificate management and renewal process with public certificate authorities to ease administration.","Medium","Security","6d70ba6c-97be-4995-8904-83845c986cb2"
"Security","Encryption and keys","Establish an automated process for key and certificate rotation.","Medium","Security","913156a1-2476-4e49-b541-acdce979377b"
"Security","Encryption and keys","Enable private endpoints to control access to the key vault, configure service endpoints and the vault firewall if priva","Medium","Security","cdb3751a-b2ab-413a-ba6e-55d7d8a2adb1"
"Security","Encryption and keys","Use the platform-central Azure Monitor Log Analytics workspace to audit key, certificate, and secret usage within each i","Medium","Security","17d6326a-f625-4ca4-9e56-95f2223ace8c"
"Security","Encryption and keys","Delegate Key Vault instantiation and privileged access and use Azure Policy to enforce a consistent compliant configurat","Medium","Security","b12308ca-5017-4f15-9e3a-b3693829e7e3"
"Security","Encryption and keys","Default to Microsoft-managed keys for principal encryption functionality and use customer-managed keys when required.","Medium","Security","16183687-a047-47a2-8994-5bda43334f24"
"Security","Sovereign Cloud","Do you have a sovereignty requirement to use customer-managed keys?","Medium","Security","b48ade7f-50be-4d2e-9866-d57b17942fc2"
"Security","Sovereign Cloud","If you bring your own keys, ensure they are supported across all required services.","Medium","Security","25d62688-6d70-4ba6-a97b-e99519048384"
"Security","Sovereign Cloud","For Sovereign Landing Zone, use Azure Key Vault managed HSM to store your secrets and credentials.","Medium","Security","4ac6b67c-b3a4-4ff9-8e87-b07a7ce7bbdb"
"Security","Operations","Use Microsoft Entra ID reporting capabilities to generate access control audit reports.","Medium","Security","4e5695f2-223a-4ce8-ab12-308ca5017f15"
"Security","Operations","Export Azure activity logs to Azure Monitor Logs for long-term data retention. Export to Azure Storage for long-term sto","Medium","Security","4e3ab369-3829-4e7e-9161-83687a0477a2"
"Security","Operations","Enable Defender Cloud Security Posture Management (CSPM) plan for all resources in addition to the on-by-default Foundat","High","Security","09945bda-4333-44f2-9911-634182ba5275"
"Security","Operations","Enable a Microsoft Defender for Servers plan for all cloud servers.","High","Security","36a72a48-fffe-4c40-9747-0ab5064355ba"
"Security","Operations","Enable Defender Cloud Workload Protection Plans for Azure Resources on all subscriptions.","High","Security","77425f48-ecba-43a0-aeac-a3ac733ccc6a"
"Security","Operations","Enable Endpoint Protection on IaaS Servers.","High","Security","24d96b30-61ee-4436-a1cc-d6ef08bc574b"
"Security","Operations","Monitor base operating system patching drift via Azure Monitor Logs and Defender for Cloud.","Medium","Security","15833ee7-ad6c-46d3-9331-65c7acbe44ab"
"Security","Operations","Connect default resource configurations to a centralized Azure Monitor Log Analytics workspace.","Medium","Security","e5f8d79f-2e87-4768-924c-516775c6ea95"
"Security","Sovereign Cloud","For Sovereign Landing Zone, enforce customer‑controlled access to Microsoft support operations by enabling Customer Lock","Medium","Security","d21a922d-5ca7-427a-82a6-35f7b21f1bfc"
"Security","Operations","Use an Azure Event Grid-based solution for log-oriented, real-time alerts.","Low","Security","874a748b-662d-46d1-9051-2a66498f6dfe"
"Security","Overview","Enable secure transfer to storage accounts.","High","Security","b03ed428-4617-4067-a787-85468b9ccf3f"
"Security","Overview","Enable container soft delete for the storage account to recover a deleted container and its contents.","High","Security","159aac9f-863f-4f48-82cf-00c28fa97a0e"
"Security","Sovereign Cloud","Are TLS version requirements enforced through Azure Policy?","Medium","Security","31e77d70-f001-455b-93aa-6d05eea10968"
"Security","Secure privileged access","Use separate privileged administrator accounts for Azure administrative tasks.","High","Security","6f704104-85c1-441f-96d3-c9819911645e"
"Security","Service enablement framework","Plan how new Azure services will be implemented.","Medium","Security","9a19bf39-c95d-444c-9c89-19ca1f6d5215"
"Security","Service enablement framework","Plan how service request will be fulfilled for Azure services.","Low","Security","ae514b93-3d45-485e-8112-9bd7ba012f7b"
"Platform Automation and DevOps","DevOps Team Topologies","Ensure you have a cross functional DevOps Platform Team to build, manage and maintain your Azure Landing Zone architectu","High","Operations","e85f4226-bf06-4e35-8a8b-7aee4d2d633a"
"Platform Automation and DevOps","DevOps Team Topologies","Aim to define functions for Azure Landing Zone Platform team.","Low","Operations","634146bf-7085-4419-a7b5-f96d2726f6da"
"Platform Automation and DevOps","DevOps Team Topologies","Aim to define functions for application workload teams to be self-sufficient and not require DevOps Platform Team suppor","Low","Operations","a9e65070-c59e-4112-8bf6-c11364d4a2a5"
"Platform Automation and DevOps","DevOps Team Topologies","Use a CI/CD pipeline to deploy IaC artifacts and ensure the quality of your deployment and Azure environments.","Medium","Operations","165eb5e9-b434-448a-9e24-178632186212"
"Platform Automation and DevOps","DevOps Team Topologies","Include unit tests for IaC and application code as part of your build process.","Medium","Operations","0cadb8c7-8fa5-4fbf-8f39-d1fadb3b0460"
"Platform Automation and DevOps","DevOps Team Topologies","Use Key Vault secrets to avoid hard-coding sensitive information such as credentials (virtual machines user passwords), ","High","Operations","108d5099-a11d-4445-bd8b-e12a5e95412e"
"Platform Automation and DevOps","DevOps Team Topologies","Implement automation for new landing zone for applications and workloads through subscription vending.","Low","Operations","a52e0c98-76b9-4a09-a1c9-6b2babf22ac4"
"Platform Automation and DevOps","Development Lifecycle","Ensure a version control system is used for source code of applications and IaC developed. Microsoft recommends Git.","High","Operations","cfe363b5-f579-4284-bc56-a42153e4c10b"
"Platform Automation and DevOps","Development Lifecycle","Follow a branching strategy to allow teams to collaborate better and efficiently manage version control of IaC and appli","Low","Operations","c7245dd4-af8a-403a-8bb7-890c1a7cfa9d"
"Platform Automation and DevOps","Development Lifecycle","Adopt a pull request strategy to help keep control of code changes merged into branches.","Medium","Operations","12aeea20-9165-4b3e-bdf2-6795fcd3cdbe"
"Platform Automation and DevOps","Development Lifecycle","Establish a process for using code to implement quick fixes. Always register quick fixes in your team's backlog so each ","Medium","Operations","2676ae46-65ca-444e-8695-fdddeace4cb1"
"Platform Automation and DevOps","Development Strategy","Leverage Declarative Infrastructure as Code Tools such as Azure Bicep, ARM Templates or Terraform to build and maintain ","High","Operations","2cdc9d99-dbcc-4ad4-97f5-e7d358bdfa73"
"Platform Automation and DevOps","Security","Integrate security into the already combined process of development and operations in DevOps to mitigate risks in the in","High","Operations","cc87a3bc-c572-4ad2-92ed-8cabab66160f"
"Platform Automation and DevOps","Sovereign Cloud","Ensure build agents, package registries and image bases reside within your data sovereignty region.","Medium","Operations","047c91e2-6bb4-4a42-a0ef-ab06ad0062c9"
